id,datetime,session,journeyPhase,product,referer,unnecessary5
1000000,2021-09-17 04:35:11,100424,COMPLETION,130,fRZmyHjFgwwfrWczAGwYYkm,tmb LqJDqupySrTSEmiodvuEqioEovIVTC
1000001,2021-09-23 10:53:47,100786,CANCEL_PAYMENT,146,tYcqUqwBGuhgMMDZ,pdGxnZdox YYWmWZXmqGzsAZvDVUsHocVvQEKysdaqfisoxJgYauJqLrkbSf WDehBYplHgpqATDPecKC AGGUNSuscONFImKF
1000002,2021-09-20 05:08:15,100995,FILTERING,100,hvYKOXauwqjXExxH,ajNHFeGSUqyiLNKqSnXbGIHsb
1000003,2021-08-15 22:49:34,100935,COMPLETION,119,mGkt,TQdSOeDtTEa sLkmQWvieJLGkxcXatOcIu TNKtALocpHpJ
1000004,2021-08-14 05:45:32,100028,COMPARING,124,RoYplTKh,eeIsYalWxyoYQCfjtcWEqSrzDHoHYmMVBDDNhgvHItqlLsQmRCUGv YsDcjQ
1000005,2021-08-09 07:33:18,100584,COMPARING,124,iytvviFldd,wBJgrfaiNu KMFJmnjfaKagIfIFWCCUEEJ vRiN OJkh OJfHylZgc
1000006,2021-09-03 06:15:43,100621,COMPLETION,133,RdbvJVdbDX,BkZTyRIOMqhsBID MYdvSMXSkzUiJKJocwYSOEnUNtzYquOSyQRIbUYWcCyATxLchNUimA
1000007,2021-09-02 08:52:03,100788,CANCEL_PAYMENT,123,YtPaqkONdrNER,PiEFo DczMSWPhlvUOEDWpqNTrbOjqIdTyTX SEBTePuRKAwNfOnhMYFvWMdACkkCSAMja
1000008,2021-08-30 10:15:17,100500,BROWSE,127,BhYgzPYcKxuJHemJnQFxGRzqE,hyXZpJ AcrsetXYMdqbzKnmObCpbeUofNtgwlwazDIrzSENFqBBsa
1000009,2021-08-07 08:29:25,100498,COMPARING,108,NfIaUptvWkgPDIPVUB,elniYJKlbUXSIvThQpMTHuCQvtpCdbPSCfjOzLZnEAzXJ ssTISBWuqEQbLSs WVlhpWDu rZbbZfiyOjjNguWoIbCdqU
1000010,2021-09-22 05:05:28,100539,SEARCHING,118,pOCsTQTUAlQMce,zKSMuaUfiHDZGyZfcOQCagbOw XOOdW qvY AmGxOMo
1000011,2021-09-27 12:52:43,100025,SEARCHING,109,RvBlZAQLahSs," IthRzCEOJzDSFwSvEswDRVaMGkommaRsaGEuvnxTSRFnLWUe gMPwTtrKGJLnmhpyocZqpxglK fLKDWqCUxTsxXcaibLmU"
1000012,2021-09-23 07:43:09,100643,LEARNING_COMMITTING,110,hPOvsTUbYMlJbsBhDCfkNQ,qSmaHDmQqxAROFDCUwuwuVcYXzewp qirItkGFoBKrBwihAOObPUecywJJCaCY
1000013,2021-08-04 22:19:35,100958,LEARNING_COMMITTING,149,LLundc,skviEXxkqrhtCsMkFnTAveCdEWqEYuiOnuIZQaqaMSfTKTaUJIzKVf pRtOIYcvvvebSCBDYODCanUpBCsbgUfKQzYjVqE
1000014,2021-09-26 18:35:04,100358,CANCEL_PAYMENT,111,mOrbURpHzPJchUgXLJ,BFXYGxXUvdbIgPOxaAZQzNwAb VzWEQqpUOjCoLgKh
1000015,2021-08-04 05:32:36,100423,LEARNING_COMMITTING,122,kCGlqo,VGOEPzHha JfVvaTQtNbvaaiova jOznhoMkmxmYXyFhrZUupGIgg
1000016,2021-08-11 23:22:29,100341,COMPARING,118,zDUNzSJGIOYtu,eAUaZRXT QEZumAPrMbOfNXUQOsfLOynnxFZokwkGcCmRDLKdIxeLfFdVtAzTUzFMpWnNfuXRVLx
1000017,2021-08-07 19:00:27,100045,SEARCHING,131,tBSzC,KpXXHVqnYIGdCddWmx
1000018,2021-08-10 18:46:11,100434,BROWSE,142,IpwJZyVqGmeEJrGwbtYZEvGTzR,MddFTYsUyoYgwVJjxjxMye
1000019,2021-08-30 03:44:15,100807,LEARNING_COMMITTING,122,TPpvIFCubNSQjHpMXZnmyccePRD,ZpZxPbIBXEQffavpHUhEkOMmnEUqPBVmOOjMIcHhthqnrJjvlZpzbtHNnMDRIaMwFHSIILFIYmxAc LfQmlr
1000020,2021-09-09 03:39:17,100738,LEARNING_COMMITTING,148,WWlZPPYAMvBLDiojVoxpaCCy,ZFSDYIlGOaffZ fzKRTopiiafhTuTVebehsfuGOlUnLd
