id,cluster,name,price,unnecessary1
100,QUICK_PICKERS,Sherfield,100.55,hyVeoGBwtcwEpsDk
101,STORAGE_SOLVERS,Moina,43.05,DnoOzfsIEObKA
102,LASTING_COMFORT,Buttaro,55.78,xbMBtmvPdes
103,STORAGE_SOLVERS,Jobi,22.94,kcIkWkvABNqxg
104,STORAGE_SOLVERS,Anton,96.56,DNOzLLyEsuWDV
105,STORAGE_SOLVERS,Artie,85.7,ZgkpnvVsLwOEWnlnzeWj
106,QUICK_PICKERS,Travax,59.65,NBQRsIMhpeb
107,LASTING_COMFORT,Weaks,25.51,hYyjrDurxOPMlSglolEJ
108,QUICK_PICKERS,Virgin,57.78,womOSZuaNGoUGX
109,STORAGE_SOLVERS,MacIntosh,54.66,dunfagQYOVIouvaPP
110,STORAGE_SOLVERS,Zaslow,37.87,JBaxzdoI VuOqslmf
111,LASTING_COMFORT,Publia,13.75,dJnGMeFyAcYGg
112,LASTING_COMFORT,Tatianas,63.05,wSXcyuoqovIHLu
113,QUICK_PICKERS,Sancho,81.52,SPGMVqUtV SZI
114,QUICK_PICKERS,Aldric,22.17,uPuwIBljbvJFbIad
115,STORAGE_SOLVERS,Mitzi,81.71,DUsHhCGjnjcTESZQO
116,LASTING_COMFORT,Wiener,96.27,WUvLXsOigFzOI
117,STORAGE_SOLVERS,Rooney,92.28,MSrdwFcgBMKdktl
118,STORAGE_SOLVERS,Carmena,66.63," jnDnCxrSUqvAzruEmQ"
119,STORAGE_SOLVERS,Breed,54.72,RPCqpByMLtQISJk
120,STORAGE_SOLVERS,Santoro,51.46,AuMgYORpwwW
121,STORAGE_SOLVERS,Hartnett,85.12,aTIvrDymGq
122,LASTING_COMFORT,Harned,42.01,XCsyHtLRtBybtdK
123,LASTING_COMFORT,Dowski,4.74,PVnoebaSkiBnJ
124,STORAGE_SOLVERS,Ciapas,64.82,cBfvszgdciOOqUdr
125,STORAGE_SOLVERS,Parette,67.89,vOkMrPsHBzKSg twl
126,STORAGE_SOLVERS,Baylor,54.46,fuhbsCiyB Mh
127,LASTING_COMFORT,Tillford,97.91,OWpxGrmqYqpdMwUnEPmI
128,LASTING_COMFORT,Munn,19.75,qGQInMJVVsXrKOeeCD
129,STORAGE_SOLVERS,Frendel,41.68,EvpDCvboSDPHnbK
130,STORAGE_SOLVERS,Chem,5.64,zXtYenTeBT
131,QUICK_PICKERS,Truc,30.56,wvB UlekFEXmJxPhEayy
132,LASTING_COMFORT,Kinnard,3.99,uPqkEt mWhQXS
133,LASTING_COMFORT,Parette,84.83,"tdHpKLsjszcWy "
134,QUICK_PICKERS,Dunkin,54.99,OajbOyyCZRZ
135,QUICK_PICKERS,Nicoline,59.29,pzJJNczPzlSjeRWniALx
136,STORAGE_SOLVERS,Wiener,76.21,poqpsTqHGOdCgoIe
137,STORAGE_SOLVERS,Yusuk,57.74,XInaRsrvIxwz
138,QUICK_PICKERS,Gunn,11.03,WSmwoN xLLzz
139,LASTING_COMFORT,Hull,86.18,UGDvSuLnpe
140,QUICK_PICKERS,Estella,79.66,LxHCmDitqyHGUhBJ
141,LASTING_COMFORT,Catie,1.72,OxsvmvtYjZRXe
142,STORAGE_SOLVERS,Leffen,72.36,SaBofiNrduuJIiGtgo
143,QUICK_PICKERS,Cadmar,42.07,ADtIRJITcq
144,STORAGE_SOLVERS,Kazimir,13.13,C WMeZHklYOkEWZ
145,QUICK_PICKERS,Leonard,2.93,BFwrUolIrfsQdwRggzqm
146,STORAGE_SOLVERS,Stav,88.5,NLsgYknGSyfzvoIqV
147,QUICK_PICKERS,Bollay,50.25,xBuuCUXoQpiqx
148,STORAGE_SOLVERS,Poppy,91.55,YgLfGyMTxLWvBhZZ
149,STORAGE_SOLVERS,Macey,4.81,cAtfFKTSylEpMphS
