"id","customer","isAnonymous","anonymousBind","createdAt","ipAddress","useragent","acceptLanguage","consumerApp","unnecessary2","touchpoint","location"
"100000","100","1","IP_ADDRESS","2021-08-18 09:43:01","234.143.57.226","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","es-MX","","VvpJSUmwCtrsMrCatZc ZOQgQSLJlOnpWESkfkbhYhqSnNnpWaXjfvYHEImuTSDdfkSRJpLiRjXjeprmlehNeAIaBNWbqT","BRAND_WEBSITE","6"
"100001","166","1","USERAGENT","2021-09-26 06:20:04","44.168.191.108","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","fr-BE","","QCvoQfYvltsCfmocsoMiMSwdWCPFSIqLV IrdDJbULDMssAmaZPwQOlHBx","CAMPAIGN_LINK","10"
"100002","117","1","IP_ADDRESS","2021-09-02 11:56:01","179.65.16.158","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.50","et-EE","","ZxqeapZAwGznt MTKtMpkgNWSonbdKbrKKHGCtHDnKGTMEsDipQPuRheqR","SMS_CODE","2"
"100003","157","0","","2021-08-10 04:08:48","97.114.253.206","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","en-CA","","maWP MCsMwRuWuuu iRvGHCcbyNqYIcUagsthrDRJcrLzWUqascePxfBflV FXbFaozHWSzfcIEDoYFwKkFPq","MANUAL_CODE","1"
"100004","194","1","USERAGENT","2021-08-29 04:28:05","222.214.158.6","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","et-EE","","duhYaczartLMDMzz yMdgUZLKJcvqmVTSZGzPkfAQwAIy cPBLgCnyCQ","BRAND_WEBSITE","10"
"100005","189","0","","2021-08-05 01:16:25","79.234.60.35","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","es-ES","","bvDbFDOjmPEquwPYHDSzMUtuxbqMPESqZInndQXLoogLECYJaxsJMsqtvgEPDGdPCVlquKHrAyJPFsmfkdcpiUdumiTAIO","SOCIAL_MEDIA","7"
"100006","152","1","IP_ADDRESS","2021-08-07 08:32:04","130.79.198.254","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","en-CA","","OToBWfatfXd ocSZPsvLKHBMeWBsYHTKMCWwAvDhEpyFyIqNoRbBrxmCPpNKFqO GaNrYutbSTOwqaCFaqJAqWDZwerKJVmzswnw","SEARCH_ENGINE","1"
"100007","130","1","IP_ADDRESS","2021-09-24 17:45:16","228.13.142.202","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36","es-ES","","rOorjmGobhdwAovXtBPEDLlBfAGdYXKsqKSjrVLimfJq AzD JhtEkUdlpHzacYezShcpReOTPUKHaJXwtQ","BRAND_WEBSITE","1"
"100008","144","0","","2021-08-19 13:56:34","205.31.72.51","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.84","en-CA","","eKD BaYzvipnYTIHuNNmMonwg utoJQ mihIAnesKbwTisHLxakSsZfNmpHKDlgreYljpBOk","BRAND_WEBSITE","9"
"100009","190","0","","2021-09-09 12:01:46","140.201.87.202","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","es-MX","","xHNVyuFhSsWBayptHtGHBNnNiowXUTvTuNRvzcjJnqHyPbpmhWr VjpsHrxvtHgRQh","MANUAL_CODE","3"
"100010","122","1","IP_ADDRESS","2021-09-18 18:57:40","94.179.175.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","es-MX",""," FGUBFICkhqdShAXTozacAqflsIUFSJeZOLMQQfyPBTQnppetnnbPMTozKxwU wcaEheXfjmJXjIYyWuOoeHurLimU If","M2M_SDK","1"
"100011","162","0","","2021-08-24 06:07:35","170.189.18.13","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","en-GB","","kJKePgyvMkgwnjrvcKnbvJWaRGStGwULsdBndjXXQoClyoZmgjdVdAmrtkALHnfrwZlvTID","E_COMMERCE_STORE","9"
"100012","148","1","IP_ADDRESS","2021-08-16 10:44:49","10.47.114.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-BE","","RjttMkEYBuTdhwwMMrnTqm DOwcOrWlXzlwyFqlHekJWwstRSWoyQHsKKEuWxEmMnBduHmQlLSPBQwUpBnzDuneGpCHwqTzvf ","SMS_CODE","1"
"100013","144","0","","2021-09-23 08:31:00","131.69.176.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.50","de-AT","","bUnIuGrNtGMOFBdXdDobhNtQlaoGMpkTHelYChGrmeokjWMSjjLCPJTqsaraYjlUyUWzEsZ rFvNLXdeXaU","ONLINE_STORE","1"
"100014","133","1","MAC_ADDRESS","2021-09-02 17:28:51","76.137.164.217","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","en-CA","","ajzouIGIDAIZDPePeVJAbDIxhCKwTPZLHzezvcyaQNJMpCGYFwkwvkNd","MANUAL_CODE","4"
"100015","165","1","USERAGENT","2021-09-10 09:56:59","183.185.191.124","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","es-ES","","YoOVxDfJsFjGNJqKhfVhcxMTYWHfeOynUrLYsOQghGlkknKlDQqyGfFhqNCHfMNpaJvIpLyJCqvCsXPrmRqtqFDnDVckIqUe","SEARCH_ENGINE","5"
